,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,fgood,cbs1,cbs2,cbs3,cbinq,cbline,cbterm,cblineut,cbtob,cbdpd,cbnew,pmt,tob,dpd,dep,dc,od,home,inc,dd,online,rnd
1,1,726,710,741,2,4,1,28.72088682,6,No,No,P,2,00No,15227.64,31,1,No,W03,0,Yes,0.113703411
2,0,680,654,687,1,2,1,45.78460315,5,No,No,M,0,00No,7092.18,16,2,No,W05,1,Yes,0.640310605
3,1,633,611,612,0,1,0,32.10232036,6,No,No,M,3,01Lo,14220.71,23,0,No,W08,0,Yes,0.009495756
4,1,714,684,675,1,2,1,49.43698959,6,No,No,M,2,00No,11167.58,26,1,Yes,W06,0,Yes,0.693591292
5,1,625,610,623,1,0,0,37.03585094,7,No,No,A,3,00No,12442.5,34,0,Yes,NA,1,Yes,0.544974836
6,1,631,NA,611,1,1,1,36.5644583,6,No,No,A,2,00No,11355.32,26,0,No,W05,2,Yes,0.282733584
7,0,607,581,619,0,2,1,28.15017613,5,No,No,M,1,00No,12749.96,27,1,No,W04,0,Yes,0.923433484
8,1,549,624,602,0,1,0,43.5258442,3,No,No,A,2,01Lo,15768.57,32,2,No,NA,0,Yes,0.837295628
9,1,705,610,NA,0,1,2,41.9139148,6,No,No,M,2,00No,10277.04,28,2,No,W09,0,No,0.286223285
10,0,594,616,578,0,1,1,61.37896426,6,No,No,P,5,02Hi,14088.02,24,0,Yes,W08,1,No,0.26682078
11,1,678,666,654,0,2,1,38.20067564,7,No,No,A,4,00No,11925.29,29,0,No,W07,0,No,0.18672279
12,1,602,560,581,0,1,0,31.18125246,6,No,Yes,M,2,00No,10046.42,25,0,No,W07,0,Yes,0.316612455
13,1,649,677,678,1,2,1,32.7380726,6,No,No,M,3,00No,13965.48,18,2,No,W10,0,Yes,0.159046003
14,1,626,576,631,1,0,1,63.88709482,5,No,Yes,M,1,00No,10764.97,21,0,No,W05,0,Yes,0.039995918
15,1,638,611,674,1,1,0,49.79284061,4,No,No,A,2,00No,11858.84,23,0,No,W08,1,Yes,0.218799541
16,1,691,717,708,0,0,0,43.94367013,6,No,No,M,3,00No,9381.85,35,0,No,W03,1,No,0.810598552
17,1,712,739,716,1,3,0,58.81895414,7,No,No,M,2,00No,12612.13,25,0,Yes,W10,0,No,0.914658166
18,1,673,661,663,1,2,2,52.71679004,8,Yes,Yes,A,3,02Hi,14129.2,28,1,Yes,W10,0,Yes,0.831345047
19,1,616,611,575,0,1,2,38.23850644,5,No,No,P,5,01Lo,12832.51,31,2,Yes,W08,2,No,0.045770263
20,1,544,569,550,1,2,1,43.949469,5,No,No,A,4,00No,12455.88,17,0,Yes,W10,2,No,0.265186672
21,1,704,727,693,1,3,1,54.80575137,8,Yes,No,A,5,02Hi,15396.39,25,0,Yes,W10,0,No,0.304672203
22,1,651,610,602,0,2,1,67.48139575,5,No,No,P,5,02Hi,17669.43,20,2,Yes,W08,0,Yes,0.50730687
23,1,668,625,615,0,0,0,46.09519351,6,No,No,A,5,00No,15081.31,30,0,Yes,W08,1,No,0.181096208
24,1,608,597,NA,0,1,1,20.91286205,7,No,No,A,4,00No,15347.47,23,0,Yes,W09,1,Yes,0.759670635
25,1,750,NA,775,1,0,0,41.20693026,8,No,No,A,5,00No,12928.87,34,0,No,W06,0,Yes,0.201248038
26,1,743,711,NA,0,2,1,48.35368294,7,No,No,P,3,00No,13692.35,23,0,Yes,W08,1,Yes,0.258809819
27,1,703,691,697,1,3,2,38.31499934,6,No,No,M,2,00No,10824.6,22,0,No,NA,0,Yes,0.992150418
28,0,632,631,NA,1,2,0,34.73628161,5,No,No,M,2,00No,9729.07,26,2,No,W07,2,Yes,0.80735234
29,1,705,688,705,1,0,1,29.96764241,6,No,No,M,4,00No,7334.85,37,0,No,NA,1,No,0.646406094
30,1,639,660,656,1,1,1,34.48529408,6,No,No,M,4,00No,13028.02,22,2,No,W06,2,No,0.311824307
31,1,656,644,625,0,2,0,42.71344344,5,No,No,A,5,00No,16434.7,28,0,No,W06,1,Yes,0.329770176
32,1,626,696,671,1,4,0,38.59908009,5,No,No,A,3,00No,13828.18,27,0,Yes,NA,0,Yes,0.501997473
33,1,739,713,730,1,1,1,38.28552207,7,No,No,M,4,00No,18888.32,21,2,Yes,NA,0,Yes,0.677094527
34,1,718,712,702,1,1,1,33.30822375,6,No,No,A,3,00No,13712.02,31,0,No,NA,0,Yes,0.484991239
35,1,644,644,616,0,2,1,40.15695291,8,Yes,No,A,3,02Hi,12782.87,17,0,Yes,W10,1,Yes,0.243928827
36,1,667,651,617,0,2,0,50.3664738,6,No,No,M,3,00No,12851.07,16,0,No,W10,0,Yes,0.765459788
37,1,647,637,638,0,0,0,25.43280496,7,No,No,A,5,00No,17182.66,35,0,Yes,W08,1,No,0.07377988
38,1,686,687,NA,0,0,1,60.25205235,7,No,No,A,3,00No,8424.07,30,0,No,W01,1,No,0.309686602
39,1,572,547,533,0,2,1,35.59155684,4,No,Yes,P,2,00No,12955.72,22,0,No,W07,1,Yes,0.152998959
40,0,572,582,589,1,3,1,37.44356605,6,No,No,M,3,01Lo,13085.57,21,0,No,W01,0,No,0.503933488
41,0,528,546,504,1,3,1,60.18651132,5,No,No,A,1,02Hi,10544.76,23,2,No,W02,0,Yes,0.493960923
42,1,659,664,640,1,3,0,50.86925665,6,No,No,M,2,00No,12826.44,20,0,No,W07,1,Yes,0.751200197
43,1,646,NA,662,0,0,0,31.14566612,7,No,Yes,M,3,00No,13950.22,32,0,No,W04,1,No,0.84839241
44,1,673,664,633,2,2,1,50.3043652,3,No,No,M,0,01Lo,6917.67,25,2,No,W01,0,Yes,0.864833832
